"","Phase","adj_loc","sample_date","influent_composition","broad_location","location_code_orig","batch_end_or_start","batch_sample_date","temp_C","total_Cl2_mg.L","free_Cl2_mg.L"
"1687","Phase 2","advanced blend loops",2018-01-13,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-15,16.8,1.1,NA
"1688","Phase 1","advanced blend loops",2017-10-28,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-10-30,18.6,1.11,NA
"1689","Phase 1","transition loops (Phase 1)",2017-10-31,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-02,18,1.11,NA
"1690","Phase 1","conventional control loop",2017-11-03,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-06,18.5,1.11,NA
"1691","Phase 1","advanced blend loops",2017-11-08,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-13,21.1,1.11,NA
"1692","Phase 1","advanced blend loops",2017-11-15,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-20,17.6,1.11,NA
"1693","Phase 1","advanced blend loops",2017-12-19,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-12-21,12.5,1.11,NA
"1694","Phase 2","transition loops (Phase 2)",2018-01-06,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-08,19,1.11,NA
"1696","Phase 2","conventional control loop",2018-03-07,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-08,13.8,1.12,NA
"1697","Phase 2","conventional control loop",2018-03-11,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-12,16.4,1.12,NA
"1700","Phase 1","conventional control loop",2017-11-07,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-13,21.2,1.13,NA
"1701","Phase 1","transition loops (Phase 1)",2017-12-30,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-01,21.2,1.13,NA
"1702","Phase 2","conventional control loop",2018-03-04,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-05,11.3,1.13,NA
"1704","Phase 2","transition loops (Phase 2)",2018-01-16,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-18,14.2,1.14,NA
"1705","Phase 2","conventional control loop",2018-01-24,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-25,13.4,1.14,NA
"1706","Phase 1","advanced blend loops",2017-11-01,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-02,18.2,1.15,NA
"1707","Phase 1","advanced blend loops",2017-12-27,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-12-29,18.5,1.15,NA
"1708","Phase 2","conventional control loop",2018-02-11,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-12,14.5,1.15,NA
"1709","Phase 2","conventional control loop",2018-03-18,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-19,10.4,1.15,NA
"1713","Phase 1","advanced blend loops",2017-11-21,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-27,21.9,1.16,NA
"1714","Phase 2","conventional control loop",2018-02-25,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-27,10.9,1.16,NA
"1715","Phase 2","conventional control loop",2018-03-14,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-15,17.3,1.16,NA
"1717","Phase 1","transition loops (Phase 1)",2017-11-07,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-13,21.5,1.17,NA
"1719","Phase 1","conventional control loop",2017-12-12,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-12-14,15.9,1.18,NA
"1723","Phase 1","advanced blend loops",2017-11-22,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-27,25.6,1.19,NA
"1729","Phase 1","transition loops (Phase 1)",2017-11-03,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-06,20.7,1.21,NA
"1730","Phase 1","conventional control loop",2017-11-21,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-27,21.8,1.21,NA
"1732","Phase 1","conventional control loop",2017-12-30,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-01,20.3,1.22,NA
"1733","Phase 2","transition loops (Phase 2)",2018-03-13,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-03-15,16.1,1.22,NA
"1734","Phase 1","advanced blend loops",2017-11-14,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-20,20.2,1.23,NA
"1735","Phase 1","transition loops (Phase 1)",2018-01-02,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-05,17.6,1.23,NA
"1736","Phase 1","advanced blend loops",2017-11-01,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-02,18.3,1.24,NA
"1737","Phase 2","advanced blend loops",2018-01-13,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-15,16.1,1.24,NA
"1738","Phase 2","conventional control loop",2018-03-23,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-26,15.7,1.24,NA
"1740","Phase 2","advanced blend loops",2018-01-16,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-18,14.1,1.25,NA
"1745","Phase 2","advanced blend loops",2018-01-09,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-12,15.8,1.26,NA
"1746","Phase 2","transition loops (Phase 2)",2018-01-13,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-15,15.7,1.27,NA
"1747","Phase 2","conventional control loop",2018-01-27,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-29,13.3,1.27,NA
"1748","Phase 1","advanced blend loops",2017-11-09,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-13,19.1,1.28,NA
"1749","Phase 2","transition loops (Phase 2)",2018-01-09,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-12,15.6,1.28,NA
"1750","Phase 2","advanced blend loops",2018-01-09,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-12,15.9,1.28,NA
"1751","Phase 2","conventional control loop",2018-01-13,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-15,16,1.28,NA
"1752","Phase 1","advanced blend loops",2017-11-21,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-27,22.5,1.29,NA
"1755","Phase 1","advanced blend loops",2017-10-27,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-10-30,23.2,1.3,NA
"1756","Phase 1","transition loops (Phase 1)",2017-12-15,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-12-18,21.7,1.3,NA
"1761","Phase 2","conventional control loop",2018-03-10,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-12,17,1.31,NA
"1762","Phase 2","conventional control loop",2018-01-09,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-12,15.9,1.32,NA
"1763","Phase 2","advanced blend loops",2018-01-16,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-18,14.1,1.32,NA
"1764","Phase 2","conventional control loop",2018-02-14,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-15,13.9,1.32,NA
"1765","Phase 2","conventional control loop",2018-02-17,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-19,13.9,1.32,NA
"1766","Phase 2","conventional control loop",2018-03-03,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-05,15.9,1.32,NA
"1768","Phase 1","advanced blend loops",2017-12-15,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-12-18,20.8,1.33,NA
"1771","Phase 2","conventional control loop",2018-01-19,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-22,15.3,1.34,NA
"1772","Phase 2","conventional control loop",2018-03-17,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-19,14.1,1.34,NA
"1773","Phase 1","conventional control loop",2018-01-02,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-05,15.5,1.35,NA
"1774","Phase 2","conventional control loop",2018-03-06,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-08,13.8,1.35,NA
"1775","Phase 2","conventional control loop",2018-03-21,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-22,14.1,1.35,NA
"1776","Phase 1","advanced blend loops",2017-11-07,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-13,21.4,1.36,NA
"1778","Phase 2","conventional control loop",2018-02-06,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-09,15.6,1.37,NA
"1779","Phase 2","conventional control loop",2018-02-10,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-12,17.2,1.37,NA
"1780","Phase 2","conventional control loop",2018-01-06,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-08,18.3,1.38,NA
"1781","Phase 1","advanced blend loops",2017-10-28,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-10-30,19,1.39,NA
"1785","Phase 2","conventional control loop",2018-02-22,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-23,8.7,1.42,NA
"1786","Phase 1","advanced blend loops",2017-10-31,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-02,18.4,1.44,NA
"1787","Phase 1","advanced blend loops",2017-11-03,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-06,19.1,1.44,NA
"1788","Phase 2","conventional control loop",2018-01-30,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-01,18.6,1.44,NA
"1789","Phase 2","conventional control loop",2018-02-02,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-05,16.6,1.44,NA
"1793","Phase 1","advanced blend loops",2017-10-31,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-02,18.2,1.45,NA
"1794","Phase 2","conventional control loop",2018-03-13,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-15,15.7,1.45,NA
"1799","Phase 2","conventional control loop",2018-02-24,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-27,9.7,1.46,NA
"1802","Phase 1","advanced blend loops",2017-12-15,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-12-18,20.1,1.5,NA
"1804","Phase 1","advanced blend loops",2017-11-08,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-13,21.1,1.51,NA
"1809","Phase 1","advanced blend loops",2017-10-27,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-10-30,24,1.53,NA
"1816","Phase 2","conventional control loop",2018-01-23,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-25,11.4,1.6,NA
"1820","Phase 2","conventional control loop",2018-02-16,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-19,14.1,1.64,NA
"1821","Phase 2","conventional control loop",2018-02-21,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-23,8.3,1.64,NA
"1822","Phase 2","conventional control loop",2018-03-09,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-12,15.3,1.64,NA
"1823","Phase 2","conventional control loop",2018-03-16,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-19,10.9,1.65,NA
"1825","Phase 2","conventional control loop",2018-01-26,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-29,12.5,1.66,NA
"1826","Phase 2","conventional control loop",2018-02-13,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-15,12.1,1.66,NA
"1829","Phase 1","advanced blend loops",2017-11-03,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-06,18.5,1.67,NA
"1830","Phase 2","conventional control loop",2018-02-28,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-01,8.3,1.68,NA
"1831","Phase 2","conventional control loop",2018-03-20,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-22,12.6,1.69,NA
"1832","Phase 2","conventional control loop",2018-03-02,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-05,9.1,1.76,NA
"1833","Phase 1","advanced blend loops",2017-11-07,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-13,21.2,1.79,NA
"1834","Phase 2","conventional control loop",2018-02-20,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-23,7.4,2.02,NA
"1841","Phase 1","transition loops (Phase 1)",2017-10-29,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-10-30,19.9,NA,NA
"1842","Phase 1","transition loops (Phase 1)",2017-10-29,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-10-30,21.5,NA,NA
"1843","Phase 1","advanced blend loops",2017-10-29,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-10-30,20,NA,NA
"1844","Phase 1","advanced blend loops",2017-10-29,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-10-30,19.8,NA,NA
"1845","Phase 1","conventional control loop",2017-10-29,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-10-30,19.8,NA,NA
"1846","Phase 1","transition loops (Phase 1)",2017-11-04,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-11-06,NA,NA,NA
"1847","Phase 1","transition loops (Phase 1)",2017-11-04,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-06,NA,NA,NA
"1848","Phase 1","advanced blend loops",2017-11-04,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-06,NA,NA,NA
"1849","Phase 1","advanced blend loops",2017-11-04,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-06,NA,NA,NA
"1850","Phase 1","conventional control loop",2017-11-04,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-06,NA,NA,NA
"1851","Phase 1","transition loops (Phase 1)",2017-11-05,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-11-06,NA,NA,NA
"1852","Phase 1","transition loops (Phase 1)",2017-11-05,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-06,NA,NA,NA
"1853","Phase 1","advanced blend loops",2017-11-05,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-06,NA,NA,NA
"1854","Phase 1","advanced blend loops",2017-11-05,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-06,NA,NA,NA
"1855","Phase 1","conventional control loop",2017-11-05,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-06,NA,NA,NA
"1856","Phase 1","advanced feedwater",2017-11-09,"100% advanced","Pipe_Loop","advanced_feed","Between_Batch",2017-11-13,NA,NA,NA
"1857","Phase 1","conventional feedwater",2017-11-16,"100% conventional","DWDS_F","conventional_feed","Between_Batch",2017-11-20,NA,NA,NA
"1858","Phase 1","conventional feedwater",2017-12-07,"100% conventional","DWDS_F","conventional_feed",NA,2017-12-11,NA,NA,NA
"1859","Phase 2","advanced feedwater",2018-01-31,"100% advanced","Pipe_Loop","advanced_feed","Between_Batch",2018-02-01,NA,NA,NA
"1860","Phase 2","conventional feedwater",2018-01-31,"100% conventional","DWDS_F","conventional_feed","Between_Batch",2018-02-01,NA,NA,NA
"1871","Phase 2","advanced feedwater",2018-03-22,"100% advanced","Pipe_Loop","advanced_feed","Experimental",2018-03-22,16.9,NA,NA
