"","Phase","adj_loc","sample_date","influent_composition","broad_location","location_code_orig","batch_end_or_start","batch_sample_date","temp_C","total_Cl2_mg.L","free_Cl2_mg.L"
"1496","Phase 2","advanced blend loops",2018-01-19,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-22,15.4,0.6,NA
"1497","Phase 2","advanced blend loops",2018-02-20,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-02-23,8,0.6,NA
"1500","Phase 1","transition loops (Phase 1)",2017-10-28,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-10-30,18.8,0.61,NA
"1501","Phase 1","advanced blend loops",2017-11-19,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-20,16.7,0.61,NA
"1502","Phase 1","transition loops (Phase 1)",2017-12-23,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-12-26,14.6,0.61,NA
"1503","Phase 2","advanced blend loops",2018-01-07,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-08,18.3,0.61,NA
"1504","Phase 1","advanced blend loops",2017-12-17,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-12-18,17.9,0.62,NA
"1505","Phase 1","conventional control loop",2017-12-20,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-12-21,11.3,0.62,NA
"1506","Phase 1","advanced blend loops",2018-01-03,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-05,20,0.62,NA
"1507","Phase 2","transition loops (Phase 2)",2018-02-16,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Between_Batch",2018-02-19,15,0.62,NA
"1508","Phase 2","transition loops (Phase 2)",2018-02-24,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-02-27,16.3,0.62,NA
"1510","Phase 1","conventional control loop",2017-10-25,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-10-26,26.5,0.63,NA
"1511","Phase 1","conventional control loop",2017-11-09,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-13,19.1,0.63,NA
"1512","Phase 1","transition loops (Phase 1)",2017-11-22,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-27,26.3,0.63,NA
"1513","Phase 2","advanced blend loops",2018-01-07,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-08,18.6,0.63,NA
"1514","Phase 2","advanced blend loops",2018-01-11,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-12,15.2,0.63,NA
"1515","Phase 2","advanced blend loops",2018-01-26,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-29,12.5,0.63,NA
"1516","Phase 1","transition loops (Phase 1)",2017-12-20,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-12-21,12,0.64,NA
"1517","Phase 2","transition loops (Phase 2)",2018-01-09,"90% advanced
10% conventional","Pipe_Loop","Loop_1","Between_Batch",2018-01-12,15.5,0.64,NA
"1518","Phase 1","advanced blend loops",2017-11-11,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-13,16.3,0.65,NA
"1519","Phase 2","transition loops (Phase 2)",2018-01-19,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-22,15.6,0.65,NA
"1520","Phase 2","advanced blend loops",2018-01-23,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-25,11.8,0.65,NA
"1521","Phase 2","transition loops (Phase 2)",2018-01-26,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-29,13,0.65,NA
"1527","Phase 1","transition loops (Phase 1)",2017-12-28,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-12-29,20.2,0.66,NA
"1528","Phase 1","conventional control loop",2017-12-28,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-12-29,19.3,0.66,NA
"1529","Phase 1","transition loops (Phase 1)",2018-01-03,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-05,20.3,0.66,NA
"1530","Phase 2","conventional control loop",2018-01-11,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-12,14.5,0.66,NA
"1532","Phase 2","conventional control loop",2018-01-21,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-22,15,0.67,NA
"1534","Phase 1","advanced blend loops",2017-10-25,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-10-26,26.7,0.68,NA
"1535","Phase 1","conventional control loop",2017-10-28,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-10-30,18.3,0.68,NA
"1536","Phase 1","advanced blend loops",2017-11-24,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-27,23.2,0.68,NA
"1537","Phase 1","advanced blend loops",2017-12-12,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-12-14,16.3,0.68,NA
"1538","Phase 2","conventional control loop",2018-01-17,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-01-18,16.7,0.69,NA
"1540","Phase 1","advanced blend loops",2017-11-18,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-20,17.7,0.7,NA
"1541","Phase 1","advanced blend loops",2017-12-12,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-12-14,16.4,0.7,NA
"1542","Phase 1","advanced blend loops",2017-12-22,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-12-26,10.8,0.7,NA
"1543","Phase 1","advanced blend loops",2018-01-03,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-01-05,20.2,0.7,NA
"1544","Phase 2","transition loops (Phase 2)",2018-02-02,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-02-05,16.9,0.7,NA
"1545","Phase 2","conventional control loop",2018-03-25,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-03-26,15,0.7,NA
"1546","Phase 1","transition loops (Phase 1)",2017-11-09,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-13,19.1,0.71,NA
"1547","Phase 1","advanced blend loops",2017-12-20,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-12-21,11.8,0.71,NA
"1548","Phase 2","transition loops (Phase 2)",2018-01-14,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-15,22.2,0.71,NA
"1549","Phase 2","advanced blend loops",2018-02-16,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2018-02-19,14.6,0.71,NA
"1550","Phase 1","transition loops (Phase 1)",2017-11-14,"100% conventional","Pipe_Loop","Loop_1","Between_Batch",2017-11-20,19.9,0.72,NA
"1551","Phase 2","transition loops (Phase 2)",2018-02-20,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-02-23,7.7,0.72,NA
"1553","Phase 2","advanced blend loops",2018-01-14,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-01-15,21.4,0.73,NA
"1554","Phase 1","conventional control loop",2017-11-22,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-27,25.1,0.74,NA
"1555","Phase 1","advanced blend loops",2017-12-22,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-12-26,11.2,0.74,NA
"1556","Phase 1","advanced blend loops",2017-11-12,"90% advanced
10% conventional","Pipe_Loop","Loop_3","Between_Batch",2017-11-13,16.4,0.75,NA
"1557","Phase 1","conventional control loop",2017-11-15,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2017-11-20,17.2,0.75,NA
"1558","Phase 1","advanced blend loops",2017-12-28,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-12-29,19.3,0.75,NA
"1559","Phase 2","advanced blend loops",2018-02-16,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2018-02-19,14.7,0.75,NA
"1561","Phase 1","transition loops (Phase 1)",2017-11-01,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-02,18.1,0.76,NA
"1562","Phase 1","transition loops (Phase 1)",2017-11-14,"100% conventional","Pipe_Loop","Loop_2","Between_Batch",2017-11-20,20.8,0.76,NA
"1563","Phase 1","advanced blend loops",2017-11-23,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-27,24.4,0.76,NA
"1564","Phase 2","transition loops (Phase 2)",2018-01-07,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-08,19.1,0.76,NA
"1565","Phase 2","conventional control loop",2018-02-08,"100% conventional","Pipe_Loop","Loop_5","Between_Batch",2018-02-09,15.2,0.76,NA
"1566","Phase 1","advanced blend loops",2017-11-10,"90% advanced
10% conventional","Pipe_Loop","Loop_4","Between_Batch",2017-11-13,18.2,0.77,NA
"1567","Phase 2","transition loops (Phase 2)",2018-01-17,"90% advanced
10% conventional","Pipe_Loop","Loop_2","Between_Batch",2018-01-18,19.4,0.77,NA
