,Phase,adj_loc,sample_date,influent_composition,sample_type,location_code_orig,broad_location,batch_end_or_start,ICC_to_TCC,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,assay
229,Phase 1,advanced blend loops,11/2/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.051239878,52340.703,1.00801166,TCC
63,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_11,DWDS_F,NA,0.603142095,3547.0981,1.03354721,TCC
64,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_2,DWDS_F,NA,0.401851672,3667.85397,1.11282768,TCC
65,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_3,DWDS_F,NA,0.241602033,3790.3546,1.04787093,TCC
405,Phase 1,advanced feedwater,11/2/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.394252095,283508.566,1.42291227,TCC
578,Phase 1,transition loops (Phase 1),11/2/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.269937494,1486.77219,1.20762073,ICC
68,NA,"full-scale
distribution system
",2/7/18,not applicable,bulkwater_grab,site_21,DWDS_F,NA,0.159296562,4631.94066,1.02673543,TCC
69,NA,"full-scale
distribution system
",4/26/18,not applicable,bulkwater_grab,site_10,DWDS_F,NA,0.64686225,4678.56911,1.20523175,TCC
601,Phase 1,advanced blend loops,11/2/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.044411933,1991.23428,1.12954394,ICC
636,Phase 1,advanced blend loops,11/2/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.051239878,2681.93126,1.13425122,ICC
72,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_3,DWDS_F,NA,0.211419864,4994.07048,1.08991129,TCC
657,Phase 1,conventional control loop,11/2/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.29316839,3314.3298,1.04511553,ICC
